LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,0.5NAVGFPS+0.5PE,NAVGFPSPE,NAA,NAG,NAP
4,1,1,2,4,1,5,5,2,3,3,1000,56,5,1,F,18 to 25,3.00647883,0.85,0.5016197075,0.6758098538,0.680867055,0,0,1
4,1,1,2,4,5,4,4,5,5,5,1000,53,5,2,F,18 to 25,4.78928568,0.7,0.94732142,0.82366071,0.8487931938,0,0,1
4,1,1,2,4,1,4,4,4,5,4,1000,53,3,3,M,18 to 25,4.02290127,0.7,0.7557253175,0.7278626588,0.7399876227,0,0,1
4,1,1,2,4,2,3,3,4,3,4,1000,51,3,4,F,12 to 17,3.03802446,0.6,0.509506115,0.5547530575,0.5433730906,0,0,1
4,1,1,2,4,1,2,2,2,2,2,1000,57,4,5,M,18 to 25,1.85432801,0.9,0.2135820025,0.5567910013,0.5456877477,0,0,1
4,1,1,2,4,1,3,3,3,3,3,1000,48,4,6,F,18 to 25,2.70865602,0.45,0.427164005,0.4385820025,0.4114282565,0,0,1
4,1,1,2,4,1,3,3,5,4,4,1000,52,4,7,F,18 to 25,3.47587554,0.65,0.618968885,0.6344844425,0.6339304534,0,0,1
4,1,1,2,4,3,4,5,5,5,5,1000,53,3,8,M,12 to 17,4.61674535,0.7,0.9041863375,0.8020931688,0.8242971982,0,0,1
4,1,1,2,4,1,5,5,5,5,5,398,59,5,9,F,18 to 25,4.41731204,1,0.85432801,0.927164005,0.9663502315,0,0,1
4,1,1,2,4,1,3,4,4,5,3,1000,55,4,10,F,12 to 17,3.87089998,0.8,0.717724995,0.7588624975,0.7751966392,0,0,1
4,1,1,2,4,2,4,4,2,3,4,100,54,2,11,M,18 to 25,3.00152712,0.75,0.50038178,0.62519089,0.6233750165,0,0,1
4,1,1,2,4,1,3,5,5,3,3,1000,56,4,12,M,18 to 25,3.19347498,0.85,0.548368745,0.6991843725,0.7074153807,0,0,1
4,1,1,2,4,1,5,5,4,5,4,890,52,5,13,M,18 to 25,4.23361559,0.65,0.8084038975,0.7292019488,0.7415087624,0,0,1
4,1,1,2,4,3,4,5,5,5,5,1000,50,5,14,F,18 to 25,4.61674535,0.55,0.9041863375,0.7270931688,0.7391136509,0,0,1
4,1,1,2,4,1,4,4,5,5,4,1000,54,3,15,F,18 to 25,4.1465071,0.75,0.786626775,0.7683133875,0.785930777,0,0,1
4,1,1,2,4,2,3,4,5,5,3,1000,51,4,16,F,18 to 25,4.1401778,0.6,0.78504445,0.692522225,0.6998486426,0,0,1
4,1,1,2,4,1,5,2,1,1,2,1000,51,3,17,M,18 to 25,1.54653695,0.6,0.1366342375,0.3683171188,0.3316227625,0,0,1
4,1,1,2,4,3,4,2,4,3,3,925,53,3,18,F,18 to 25,3.09671285,0.7,0.5241782125,0.6120891063,0.6084942643,0,0,1
4,1,1,2,4,5,5,5,5,5,5,1000,52,2,19,F,18 to 25,5,0.65,1,0.825,0.8503143335,0,0,1
4,1,1,2,4,1,4,5,3,4,3,1000,56,1,20,F,18 to 25,3.49809123,0.85,0.6245228075,0.7372614038,0.7506625353,0,0,1
4,1,1,2,4,3,4,4,4,5,4,1000,59,3,21,F,18 to 25,4.31424525,1,0.8285613125,0.9142806563,0.9517175735,0,0,1
4,1,1,2,4,3,4,3,5,4,4,1000,49,3,22,M,12 to 17,3.85913019,0.5,0.7147825475,0.6073912738,0.6031585571,0,0,1
4,1,1,2,4,3,3,4,3,4,3,559,57,4,23,F,12 to 17,3.57872089,0.9,0.6446802225,0.7723401113,0.7905042518,0,0,1
4,1,1,2,4,3,4,4,4,4,4,1000,50,4,24,F,18 to 25,3.85432801,0.55,0.7135820025,0.6317910013,0.630871295,0,0,1
14,2,1,1,4,5,5,1,5,5,5,1000,55,5,1,F,18 to 25,4.5247854,0.8,0.88119635,0.840598175,0.8680304385,1,0,0
14,2,1,1,4,4,5,5,4,4,4,1000,53,5,2,F,18 to 25,4.21071432,0.7,0.80267858,0.75133929,0.7666519258,1,0,0
14,2,1,1,4,1,3,3,5,5,4,886,53,3,3,M,18 to 25,3.93579278,0.7,0.733948195,0.7169740975,0.7276206058,1,0,0
14,2,1,1,4,1,2,2,1,1,1,321,41,3,4,F,12 to 17,1.21071432,0.1,0.05267858,0.07633929,0,1,0,0
14,2,1,1,4,4,3,3,1,1,1,1000,53,4,5,M,18 to 25,1.85844461,0.7,0.2146111525,0.4573055763,0.4326941289,1,0,0
14,2,1,1,4,4,2,2,3,3,3,1000,52,4,6,F,18 to 25,2.93495767,0.65,0.4837394175,0.5668697088,0.5571349484,1,0,0
14,2,1,1,4,5,5,5,5,5,5,1000,56,4,7,F,18 to 25,5,0.85,1,0.925,0.9638923965,1,0,0
14,2,1,1,4,5,5,5,5,5,5,1000,52,3,8,M,12 to 17,5,0.65,1,0.825,0.8503143335,1,0,0
14,2,1,1,4,4,5,5,5,5,5,1000,58,5,9,F,18 to 25,4.85432801,0.95,0.9635820025,0.9567910013,1,1,0,0
14,2,1,1,4,5,2,4,3,5,3,1000,55,4,10,F,12 to 17,4.23807144,0.8,0.80951786,0.80475893,0.8273249182,1,0,0
14,2,1,1,4,4,4,4,4,4,5,538,52,2,11,M,18 to 25,4.06009062,0.65,0.765022655,0.7075113275,0.7168729749,1,0,0
14,2,1,1,4,4,2,1,2,3,2,1000,55,4,12,M,18 to 25,2.63245757,0.8,0.4081143925,0.6040571963,0.5993717764,1,0,0
14,2,1,1,4,5,5,5,5,5,5,1000,49,5,13,M,18 to 25,5,0.5,1,0.75,0.7651307862,1,0,0
14,2,1,1,4,4,5,5,5,5,4,1000,49,5,14,F,18 to 25,4.79423739,0.5,0.9485593475,0.7242796738,0.7359181378,1,0,0
14,2,1,1,4,1,2,4,4,5,3,1000,54,3,15,F,18 to 25,3.77898931,0.75,0.6947473275,0.7223736638,0.7337533285,1,0,0
14,2,1,1,4,5,4,4,5,5,5,1000,49,4,16,F,18 to 25,4.78928568,0.5,0.94732142,0.72366071,0.7352151307,1,0,0
14,2,1,1,4,3,4,4,4,4,4,1000,51,3,17,M,18 to 25,3.85432801,0.6,0.7135820025,0.6567910013,0.6592658108,1,0,0
14,2,1,1,4,2,3,3,4,4,4,1000,51,3,18,F,18 to 25,3.4979417,0.6,0.624485425,0.6122427125,0.6086687273,1,0,0
14,2,1,1,4,3,3,4,4,5,5,391,49,2,19,F,18 to 25,4.2824252,0.5,0.8206063,0.66030315,0.6632548413,1,0,0
14,2,1,1,4,5,4,5,4,5,4,1000,57,1,20,F,18 to 25,4.72439288,0.9,0.93109822,0.91554911,0.9531582587,1,0,0
14,2,1,1,4,4,5,4,4,4,4,1000,58,3,21,F,18 to 25,4.09191067,0.95,0.7729776675,0.8614888338,0.8917576441,1,0,0
14,2,1,1,4,1,3,1,3,2,1,1000,51,3,22,M,12 to 17,1.89095024,0.6,0.22273756,0.41136878,0.3805200055,1,0,0
14,2,1,1,4,2,3,3,4,4,3,1000,57,4,23,F,12 to 17,3.43785108,0.9,0.60946277,0.754731385,0.7705046016,1,0,0
14,2,1,1,4,4,4,2,3,4,3,1000,52,4,24,F,18 to 25,3.57869625,0.65,0.6446740625,0.6473370313,0.6485281747,1,0,0
19,1,1,1,3,3,3,3,4,3,3,1000,40,5,2,F,18 to 25,3.12360583,0.05,0.5309014575,0.2904507288,0.243183625,0,0,0
19,1,1,1,3,1,3,3,3,5,4,1000,53,3,3,M,18 to 25,3.68858112,0.7,0.67214528,0.68607264,0.6925233289,0,0,0
19,1,1,1,3,2,3,2,2,3,2,1000,53,3,4,F,12 to 17,2.55182791,0.7,0.3879569775,0.5439784888,0.5311355441,0,0,0
19,1,1,1,3,1,1,1,1,1,1,1000,53,4,5,M,18 to 25,1,0.7,0,0.35,0.3108185338,0,0,0
19,1,1,1,3,1,3,1,2,2,2,1000,46,4,6,F,18 to 25,1.82743503,0.35,0.2068587575,0.2784293788,0.2295300085,0,0,0
19,1,1,1,3,2,3,3,4,4,4,1000,47,4,7,F,18 to 25,3.4979417,0.4,0.624485425,0.5122427125,0.4950906642,0,0,0
19,1,1,1,3,3,5,5,5,5,5,1000,53,3,8,M,12 to 17,4.70865602,0.7,0.927164005,0.8135820025,0.8373459931,0,0,0
19,1,1,1,3,1,5,5,5,5,5,1000,58,5,9,F,18 to 25,4.41731204,0.95,0.85432801,0.902164005,0.9379557157,0,0,0
19,1,1,1,3,1,2,2,3,5,2,1000,53,4,10,F,12 to 17,3.35768556,0.7,0.58942139,0.644710695,0.6455452329,0,0,0
19,1,1,1,3,2,4,3,3,4,3,1000,57,2,11,M,18 to 25,3.40615592,0.9,0.60153898,0.75076949,0.766004758,0,0,0
19,1,1,1,3,1,2,1,1,3,1,1000,56,4,12,M,18 to 25,2.01174515,0.85,0.2529362875,0.5514681438,0.5396421492,0,0,0
19,1,1,1,3,5,5,5,5,5,5,1000,49,5,13,M,18 to 25,5,0.5,1,0.75,0.7651307862,0,0,0
19,1,1,1,3,3,2,3,5,5,3,1000,51,5,14,F,18 to 25,4.07513547,0.6,0.7687838675,0.6843919338,0.6906144153,0,0,0
19,1,1,1,3,1,4,4,4,5,4,1000,54,3,15,F,18 to 25,4.02290127,0.75,0.7557253175,0.7528626588,0.7683821385,0,0,0
19,1,1,1,3,2,4,4,5,5,4,1000,51,4,16,F,18 to 25,4.29217909,0.6,0.8230447725,0.7115223863,0.7214286577,0,0,0
19,1,1,1,3,1,4,5,5,5,5,1000,51,3,17,M,18 to 25,4.32540137,0.6,0.8313503425,0.7156751713,0.7261453105,0,0,0
19,1,1,1,3,1,5,5,5,5,5,1000,53,3,18,F,18 to 25,4.41731204,0.7,0.85432801,0.777164005,0.7959831369,0,0,0
19,1,1,1,3,3,4,5,5,5,5,1000,47,2,19,F,18 to 25,4.61674535,0.4,0.9041863375,0.6520931688,0.6539301036,0,0,0
19,1,1,1,3,1,4,5,3,4,4,1000,57,1,20,F,18 to 25,3.55818185,0.9,0.6395454625,0.7697727313,0.7875882713,0,0,0
19,1,1,1,3,3,4,1,3,3,4,1000,46,3,21,F,18 to 25,2.91439399,0.35,0.4785984975,0.4142992488,0.3838483751,0,0,0
19,1,1,1,3,3,2,4,2,3,2,1000,52,3,22,M,12 to 17,2.84319653,0.65,0.4607991325,0.5553995663,0.5441073828,0,0,0
19,1,1,1,3,3,2,2,2,3,2,1000,57,4,23,F,12 to 17,2.60558923,0.9,0.4013973075,0.6506986538,0.6523462405,0,0,0
19,1,1,1,3,1,1,1,2,3,2,1000,52,4,24,F,18 to 25,2.10353093,0.65,0.2758827325,0.4629413663,0.43909515,0,0,0
21,1,2,1,4,1,4,1,5,5,5,1000,45,5,1,F,18 to 25,3.85018677,0.3,0.7125466925,0.5062733463,0.4883107736,0,1,0
21,1,2,1,4,3,5,5,4,4,4,1000,43,5,2,F,18 to 25,4.06504233,0.2,0.7662605825,0.4831302913,0.46202534,0,1,0
21,1,2,1,4,2,3,3,5,5,4,1000,44,3,3,M,18 to 25,4.08146477,0.25,0.7703661925,0.5101830963,0.4927513919,0,1,0
21,1,2,1,4,1,3,2,2,3,2,1000,42,3,4,F,12 to 17,2.40615592,0.15,0.35153898,0.25076949,0.1981144426,0,1,0
21,1,2,1,4,1,5,4,3,3,3,1000,44,4,5,M,18 to 25,3.01128101,0.25,0.5028202525,0.3764101263,0.3408146437,0,1,0
21,1,2,1,4,1,3,2,2,3,2,1000,43,4,6,F,18 to 25,2.40615592,0.2,0.35153898,0.27576949,0.2265089584,0,1,0
21,1,2,1,4,1,2,2,3,3,3,1000,41,4,7,F,18 to 25,2.4979417,0.1,0.374485425,0.2372427125,0.1827509907,0,1,0
21,1,2,1,4,3,5,5,5,5,5,1000,45,3,8,M,12 to 17,4.70865602,0.3,0.927164005,0.6135820025,0.6101898669,0,1,0
21,1,2,1,4,1,5,5,5,5,5,1000,45,5,9,F,18 to 25,4.41731204,0.3,0.85432801,0.577164005,0.5688270107,0,1,0
21,1,2,1,4,1,2,3,3,5,3,258,45,4,10,F,12 to 17,3.53657983,0.3,0.6341449575,0.4670724788,0.4437871876,0,1,0
21,1,2,1,4,2,4,4,3,3,3,1000,43,2,11,M,18 to 25,3.06504233,0.2,0.5162605825,0.3581302913,0.3200527612,0,1,0
21,1,2,1,4,1,2,2,1,3,1,1000,43,4,12,M,18 to 25,2.1305488,0.2,0.2826372,0.2413186,0.1873803048,0,1,0
21,1,2,1,4,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.15,1,0.575,0.5663691758,0,1,0
21,1,2,1,4,1,4,4,5,5,4,1000,41,5,14,F,18 to 25,4.1465071,0.1,0.786626775,0.4433133875,0.4168020719,0,1,0
21,1,2,1,4,1,4,4,5,5,4,1000,42,3,15,F,18 to 25,4.1465071,0.15,0.786626775,0.4683133875,0.4451965877,0,1,0
21,1,2,1,4,2,4,4,3,5,4,1000,40,4,16,F,18 to 25,4.04496743,0.05,0.7612418575,0.4056209288,0.3739917074,0,1,0
21,1,2,1,4,2,3,4,3,3,3,1000,40,3,17,M,18 to 25,2.97313166,0.05,0.493282915,0.2716414575,0.221820419,0,1,0
21,1,2,1,4,1,5,5,5,5,5,1000,39,3,18,F,18 to 25,4.41731204,0,0.85432801,0.427164005,0.3984599161,0,1,0
21,1,2,1,4,3,5,4,4,5,5,1000,41,2,19,F,18 to 25,4.46624654,0.1,0.866561635,0.4832808175,0.4621963048,0,1,0
21,1,2,1,4,1,5,5,4,5,4,1000,43,1,20,F,18 to 25,4.23361559,0.2,0.8084038975,0.5042019488,0.4859581205,0,1,0
21,1,2,1,4,3,2,2,1,4,3,1000,43,3,21,F,18 to 25,3.00199126,0.2,0.500497815,0.3502489075,0.3111012381,0,1,0
21,1,2,1,4,1,2,1,1,3,2,1000,43,3,22,M,12 to 17,2.07183577,0.2,0.2679589425,0.2339794713,0.1790446645,0,1,0
21,1,2,1,4,2,3,3,2,3,3,1000,43,4,23,F,12 to 17,2.73072218,0.2,0.432680545,0.3163402725,0.2725884673,0,1,0
21,1,2,1,4,1,2,1,2,3,2,1000,43,4,24,F,18 to 25,2.1954416,0.2,0.2988604,0.2494302,0.1965933029,0,1,0