LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
1,3,3,3,9,3,5,5,5,4,4,1000,43,5,1,F,18 to 25,,,,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,45,5,2,F,18 to 25,,,,,,,
1,3,3,3,9,1,3,5,5,5,4,1000,45,3,3,M,18 to 25,,,,,,,
1,3,3,3,9,5,4,4,5,4,5,1000,46,3,4,F,12 to 17,,,,,,,
1,3,3,3,9,3,5,5,5,3,4,1000,46,4,5,M,18 to 25,,,,,,,
1,3,3,3,9,1,2,3,5,2,3,1000,33,4,6,F,18 to 25,,,,,,,
1,3,3,3,9,1,3,3,5,4,4,1000,44,4,7,F,18 to 25,,,,,,,
1,3,3,3,9,5,5,4,5,5,5,1000,43,3,8,M,12 to 17,,,,,,,
1,3,3,3,9,5,5,5,5,5,5,323,44,5,9,F,18 to 25,,,,,,,
1,3,3,3,9,4,3,3,5,4,4,1000,42,4,10,F,12 to 17,,,,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,49,2,11,M,18 to 25,,,,,,,
1,3,3,3,9,3,3,4,3,3,3,1000,42,4,12,M,18 to 25,,,,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,,,,,,,
1,3,3,3,9,4,4,5,4,5,4,1000,45,5,14,F,18 to 25,,,,,,,
1,3,3,3,9,5,5,5,5,4,5,1000,41,3,15,F,18 to 25,,,,,,,
1,3,3,3,9,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,,,,,,,
1,3,3,3,9,5,5,5,5,5,5,1000,39,3,17,M,18 to 25,,,,,,,
1,3,3,3,9,4,4,3,4,3,3,1000,39,3,18,F,18 to 25,,,,,,,
1,3,3,3,9,5,4,4,5,5,5,369,42,2,19,F,18 to 25,,,,,,,
1,3,3,3,9,5,5,4,5,4,5,1000,44,1,20,F,18 to 25,,,,,,,
1,3,3,3,9,4,4,5,4,5,4,1000,51,3,21,F,18 to 25,,,,,,,
1,3,3,3,9,2,4,5,5,4,3,1000,42,3,22,M,12 to 17,,,,,,,
1,3,3,3,9,3,5,5,4,4,4,1000,44,4,23,F,12 to 17,,,,,,,
1,3,3,3,9,2,2,4,3,4,3,1000,46,4,24,F,18 to 25,,,,,,,
2,3,3,2,8,2,5,5,3,3,4,1000,44,5,1,F,18 to 25,,,,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,47,5,2,F,18 to 25,,,,,,,
2,3,3,2,8,4,4,5,5,5,4,1000,44,3,3,M,18 to 25,,,,,,,
2,3,3,2,8,5,4,3,4,4,4,979,44,3,4,F,12 to 17,,,,,,,
2,3,3,2,8,2,3,4,4,3,3,1000,46,4,5,M,18 to 25,,,,,,,
2,3,3,2,8,1,3,3,4,3,3,1000,43,4,6,F,18 to 25,,,,,,,
2,3,3,2,8,1,3,3,5,4,4,1000,45,4,7,F,18 to 25,,,,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,43,3,8,M,12 to 17,,,,,,,
2,3,3,2,8,4,5,5,5,5,5,864,46,5,9,F,18 to 25,,,,,,,
2,3,3,2,8,3,3,4,4,4,4,1000,42,4,10,F,12 to 17,,,,,,,
2,3,3,2,8,4,5,5,4,5,5,1000,43,2,11,M,18 to 25,,,,,,,
2,3,3,2,8,3,3,3,2,3,3,1000,41,4,12,M,18 to 25,,,,,,,
2,3,3,2,8,5,5,5,5,5,5,1000,41,5,13,M,18 to 25,,,,,,,
2,3,3,2,8,4,5,4,5,5,5,1000,43,5,14,F,18 to 25,,,,,,,
2,3,3,2,8,5,5,4,5,5,5,1000,42,3,15,F,18 to 25,,,,,,,
2,3,3,2,8,5,4,4,5,4,4,1000,35,4,16,F,18 to 25,,,,,,,
2,3,3,2,8,5,5,4,5,5,5,1000,38,3,17,M,18 to 25,,,,,,,
2,3,3,2,8,3,4,4,4,4,4,1000,32,3,18,F,18 to 25,,,,,,,
2,3,3,2,8,5,5,5,5,4,5,361,41,2,19,F,18 to 25,,,,,,,
2,3,3,2,8,5,4,4,5,4,5,820,44,1,20,F,18 to 25,,,,,,,
2,3,3,2,8,4,4,5,4,5,4,1000,43,3,21,F,18 to 25,,,,,,,
2,3,3,2,8,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,,,,,,,
2,3,3,2,8,4,3,3,4,3,4,800,44,4,23,F,12 to 17,,,,,,,
2,3,3,2,8,2,3,3,3,5,3,1000,40,4,24,F,18 to 25,,,,,,,
3,2,2,1,5,2,5,5,4,3,4,1000,44,5,1,F,18 to 25,,,,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,46,5,2,F,18 to 25,,,,,,,
3,2,2,1,5,4,4,4,5,5,4,1000,46,3,3,M,18 to 25,,,,,,,
3,2,2,1,5,1,2,3,1,1,1,323,41,3,4,F,12 to 17,,,,,,,
3,2,2,1,5,4,5,5,5,4,5,1000,44,4,5,M,18 to 25,,,,,,,
3,2,2,1,5,3,3,3,4,3,3,1000,41,4,6,F,18 to 25,,,,,,,
3,2,2,1,5,3,3,3,5,4,4,1000,43,4,7,F,18 to 25,,,,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,,,,,,,
3,2,2,1,5,4,5,5,5,5,5,324,45,5,9,F,18 to 25,,,,,,,
3,2,2,1,5,5,4,3,4,5,4,1000,42,4,10,F,12 to 17,,,,,,,
3,2,2,1,5,5,4,4,5,4,5,1000,44,2,11,M,18 to 25,,,,,,,
3,2,2,1,5,4,4,3,2,3,3,1000,43,4,12,M,18 to 25,,,,,,,
3,2,2,1,5,5,5,5,5,5,5,1000,37,5,13,M,18 to 25,,,,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,42,5,14,F,18 to 25,,,,,,,
3,2,2,1,5,5,4,4,5,5,5,1000,41,3,15,F,18 to 25,,,,,,,
3,2,2,1,5,4,3,3,4,5,4,1000,38,4,16,F,18 to 25,,,,,,,
3,2,2,1,5,1,5,4,4,4,4,1000,40,3,17,M,18 to 25,,,,,,,
3,2,2,1,5,3,4,4,4,3,4,1000,39,3,18,F,18 to 25,,,,,,,
3,2,2,1,5,5,5,5,5,5,5,261,42,2,19,F,18 to 25,,,,,,,
3,2,2,1,5,5,5,5,5,4,5,1000,43,1,20,F,18 to 25,,,,,,,
3,2,2,1,5,5,4,4,4,5,5,983,45,3,21,F,18 to 25,,,,,,,
3,2,2,1,5,2,4,3,5,4,3,1000,44,3,22,M,12 to 17,,,,,,,
3,2,2,1,5,2,3,3,2,3,3,1000,44,4,23,F,12 to 17,,,,,,,
3,2,2,1,5,3,3,4,4,5,3,1000,42,4,24,F,18 to 25,,,,,,,
4,1,1,2,4,1,5,5,2,3,3,1000,56,5,1,F,18 to 25,,,,,,,
4,1,1,2,4,5,4,4,5,5,5,1000,53,5,2,F,18 to 25,,,,,,,
4,1,1,2,4,1,4,4,4,5,4,1000,53,3,3,M,18 to 25,,,,,,,
4,1,1,2,4,2,3,3,4,3,4,1000,51,3,4,F,12 to 17,,,,,,,
4,1,1,2,4,1,2,2,2,2,2,1000,57,4,5,M,18 to 25,,,,,,,
4,1,1,2,4,1,3,3,3,3,3,1000,48,4,6,F,18 to 25,,,,,,,
4,1,1,2,4,1,3,3,5,4,4,1000,52,4,7,F,18 to 25,,,,,,,
4,1,1,2,4,3,4,5,5,5,5,1000,53,3,8,M,12 to 17,,,,,,,
4,1,1,2,4,1,5,5,5,5,5,398,59,5,9,F,18 to 25,,,,,,,
4,1,1,2,4,1,3,4,4,5,3,1000,55,4,10,F,12 to 17,,,,,,,
4,1,1,2,4,2,4,4,2,3,4,100,54,2,11,M,18 to 25,,,,,,,
4,1,1,2,4,1,3,5,5,3,3,1000,56,4,12,M,18 to 25,,,,,,,
4,1,1,2,4,1,5,5,4,5,4,890,52,5,13,M,18 to 25,,,,,,,
4,1,1,2,4,3,4,5,5,5,5,1000,50,5,14,F,18 to 25,,,,,,,
4,1,1,2,4,1,4,4,5,5,4,1000,54,3,15,F,18 to 25,,,,,,,
4,1,1,2,4,2,3,4,5,5,3,1000,51,4,16,F,18 to 25,,,,,,,
4,1,1,2,4,1,5,2,1,1,2,1000,51,3,17,M,18 to 25,,,,,,,
4,1,1,2,4,3,4,2,4,3,3,925,53,3,18,F,18 to 25,,,,,,,
4,1,1,2,4,5,5,5,5,5,5,1000,52,2,19,F,18 to 25,,,,,,,
4,1,1,2,4,1,4,5,3,4,3,1000,56,1,20,F,18 to 25,,,,,,,
4,1,1,2,4,3,4,4,4,5,4,1000,59,3,21,F,18 to 25,,,,,,,
4,1,1,2,4,3,4,3,5,4,4,1000,49,3,22,M,12 to 17,,,,,,,
4,1,1,2,4,3,3,4,3,4,3,559,57,4,23,F,12 to 17,,,,,,,
4,1,1,2,4,3,4,4,4,4,4,1000,50,4,24,F,18 to 25,,,,,,,
5,3,2,1,6,5,5,1,5,5,5,1000,44,5,1,F,18 to 25,,,,,,,
5,3,2,1,6,4,5,5,4,5,5,1000,43,5,2,F,18 to 25,,,,,,,
5,3,2,1,6,3,5,4,4,5,4,1000,43,3,3,M,18 to 25,,,,,,,
5,3,2,1,6,5,4,3,4,4,5,1000,44,3,4,F,12 to 17,,,,,,,
5,3,2,1,6,3,2,1,1,2,1,1000,44,4,5,M,18 to 25,,,,,,,
5,3,2,1,6,3,2,2,3,2,2,1000,41,4,6,F,18 to 25,,,,,,,
5,3,2,1,6,2,3,3,5,4,4,1000,46,4,7,F,18 to 25,,,,,,,
5,3,2,1,6,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,,,,,,,
5,3,2,1,6,3,5,5,5,5,5,336,46,5,9,F,18 to 25,,,,,,,
5,3,2,1,6,3,4,4,5,5,5,1000,42,4,10,F,12 to 17,,,,,,,
5,3,2,1,6,4,4,4,4,4,4,1000,43,2,11,M,18 to 25,,,,,,,
5,3,2,1,6,3,3,2,2,3,2,1000,43,4,12,M,18 to 25,,,,,,,
5,3,2,1,6,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,,,,,,,
5,3,2,1,6,4,4,4,5,5,5,1000,42,5,14,F,18 to 25,,,,,,,
5,3,2,1,6,3,5,4,5,5,4,1000,42,3,15,F,18 to 25,,,,,,,
5,3,2,1,6,4,3,4,5,5,4,1000,39,4,16,F,18 to 25,,,,,,,
5,3,2,1,6,4,5,4,4,4,4,1000,40,3,17,M,18 to 25,,,,,,,
5,3,2,1,6,3,4,3,3,2,3,617,41,3,18,F,18 to 25,,,,,,,
5,3,2,1,6,5,5,4,5,5,5,321,41,2,19,F,18 to 25,,,,,,,
5,3,2,1,6,4,4,5,4,3,4,1000,43,1,20,F,18 to 25,,,,,,,
5,3,2,1,6,5,4,4,4,5,4,1000,43,3,21,F,18 to 25,,,,,,,
5,3,2,1,6,4,3,4,5,4,3,996,43,3,22,M,12 to 17,,,,,,,
5,3,2,1,6,3,4,4,2,4,4,1000,39,4,23,F,12 to 17,,,,,,,
5,3,2,1,6,4,4,4,5,5,4,1000,44,4,24,F,18 to 25,,,,,,,
6,1,2,3,6,2,5,3,4,3,3,1000,44,5,1,F,18 to 25,,,,,,,
6,1,2,3,6,3,4,5,3,5,4,1000,43,5,2,F,18 to 25,,,,,,,
6,1,2,3,6,1,3,4,5,5,4,1000,43,3,3,M,18 to 25,,,,,,,
6,1,2,3,6,2,4,3,4,4,4,1000,44,3,4,F,12 to 17,,,,,,,
6,1,2,3,6,1,3,3,3,2,2,1000,45,4,5,M,18 to 25,,,,,,,
6,1,2,3,6,1,3,4,3,2,3,858,44,4,6,F,18 to 25,,,,,,,
6,1,2,3,6,1,3,3,5,4,4,1000,42,4,7,F,18 to 25,,,,,,,
6,1,2,3,6,3,5,5,5,5,5,1000,44,3,8,M,12 to 17,,,,,,,
6,1,2,3,6,1,5,5,5,5,5,724,45,5,9,F,18 to 25,,,,,,,
6,1,2,3,6,1,3,2,4,5,3,1000,34,4,10,F,12 to 17,,,,,,,
6,1,2,3,6,2,4,4,2,3,3,1000,43,2,11,M,18 to 25,,,,,,,
6,1,2,3,6,1,3,2,2,3,2,1000,43,4,12,M,18 to 25,,,,,,,
6,1,2,3,6,1,5,5,4,5,4,337,44,5,13,M,18 to 25,,,,,,,
6,1,2,3,6,2,4,5,5,5,5,1000,41,5,14,F,18 to 25,,,,,,,
6,1,2,3,6,1,5,5,5,5,4,1000,40,3,15,F,18 to 25,,,,,,,
6,1,2,3,6,2,3,4,4,5,3,1000,39,4,16,F,18 to 25,,,,,,,
6,1,2,3,6,1,5,5,5,5,4,1000,39,3,17,M,18 to 25,,,,,,,
6,1,2,3,6,1,3,3,4,4,4,1000,40,3,18,F,18 to 25,,,,,,,
6,1,2,3,6,5,5,5,5,5,5,1000,44,2,19,F,18 to 25,,,,,,,
6,1,2,3,6,1,4,4,4,3,4,893,44,1,20,F,18 to 25,,,,,,,
6,1,2,3,6,3,4,4,4,4,4,1000,44,3,21,F,18 to 25,,,,,,,
6,1,2,3,6,1,3,1,3,3,2,1000,44,3,22,M,12 to 17,,,,,,,
6,1,2,3,6,5,4,5,4,4,4,1000,43,4,23,F,12 to 17,,,,,,,
6,1,2,3,6,1,3,2,2,3,3,1000,42,4,24,F,18 to 25,,,,,,,
7,1,1,3,5,1,5,5,3,3,4,1000,57,5,1,F,18 to 25,,,,,,,
7,1,1,3,5,3,4,5,4,5,4,1000,53,5,2,F,18 to 25,,,,,,,
7,1,1,3,5,1,5,5,5,5,5,1000,53,3,3,M,18 to 25,,,,,,,
7,1,1,3,5,2,4,4,4,4,4,1000,51,3,4,F,12 to 17,,,,,,,
7,1,1,3,5,1,2,1,1,1,1,1000,53,4,5,M,18 to 25,,,,,,,
7,1,1,3,5,1,2,3,3,3,3,1000,56,4,6,F,18 to 25,,,,,,,
7,1,1,3,5,1,3,3,5,4,4,1000,53,4,7,F,18 to 25,,,,,,,
7,1,1,3,5,3,4,5,5,5,5,1000,52,3,8,M,12 to 17,,,,,,,
7,1,1,3,5,1,5,5,5,5,5,998,60,5,9,F,18 to 25,,,,,,,
7,1,1,3,5,1,3,2,3,5,2,1000,55,4,10,F,12 to 17,,,,,,,
7,1,1,3,5,2,4,4,2,3,3,1000,56,2,11,M,18 to 25,,,,,,,
7,1,1,3,5,1,2,3,2,2,2,1000,55,4,12,M,18 to 25,,,,,,,
7,1,1,3,5,1,5,5,4,5,4,1000,50,5,13,M,18 to 25,,,,,,,
7,1,1,3,5,1,3,5,5,5,5,1000,50,5,14,F,18 to 25,,,,,,,
7,1,1,3,5,1,4,5,5,5,4,1000,46,3,15,F,18 to 25,,,,,,,
7,1,1,3,5,2,3,3,2,4,3,894,51,4,16,F,18 to 25,,,,,,,
7,1,1,3,5,1,5,5,4,4,4,979,52,3,17,M,18 to 25,,,,,,,
7,1,1,3,5,1,4,4,3,3,3,1000,52,3,18,F,18 to 25,,,,,,,
7,1,1,3,5,5,5,5,5,5,5,155,52,2,19,F,18 to 25,,,,,,,
7,1,1,3,5,1,4,4,4,3,4,1000,57,1,20,F,18 to 25,,,,,,,
7,1,1,3,5,3,4,5,4,5,4,1000,54,3,21,F,18 to 25,,,,,,,
7,1,1,3,5,1,3,4,3,3,2,1000,51,3,22,M,12 to 17,,,,,,,
7,1,1,3,5,5,4,4,3,3,4,588,56,4,23,F,12 to 17,,,,,,,
7,1,1,3,5,1,2,1,3,4,2,1000,50,4,24,F,18 to 25,,,,,,,
8,1,2,2,5,1,5,5,4,4,3,1000,47,5,1,F,18 to 25,,,,,,,
8,1,2,2,5,1,5,4,5,4,4,464,45,5,2,F,18 to 25,,,,,,,
8,1,2,2,5,1,3,3,4,5,4,1000,42,3,3,M,18 to 25,,,,,,,
8,1,2,2,5,2,4,4,4,4,4,1000,43,3,4,F,12 to 17,,,,,,,
8,1,2,2,5,1,5,5,4,4,4,1000,42,4,5,M,18 to 25,,,,,,,
8,1,2,2,5,1,4,3,3,3,3,1000,44,4,6,F,18 to 25,,,,,,,
8,1,2,2,5,1,3,3,5,4,4,1000,35,4,7,F,18 to 25,,,,,,,
8,1,2,2,5,3,4,5,5,5,5,1000,43,3,8,M,12 to 17,,,,,,,
8,1,2,2,5,1,5,5,5,5,5,1000,44,5,9,F,18 to 25,,,,,,,
8,1,2,2,5,1,3,5,3,5,3,1000,42,4,10,F,12 to 17,,,,,,,
8,1,2,2,5,2,4,4,2,3,3,1000,45,2,11,M,18 to 25,,,,,,,
8,1,2,2,5,1,2,5,3,3,3,1000,40,4,12,M,18 to 25,,,,,,,
8,1,2,2,5,1,5,5,4,5,4,1000,42,5,13,M,18 to 25,,,,,,,
8,1,2,2,5,1,4,5,5,5,4,1000,42,5,14,F,18 to 25,,,,,,,
8,1,2,2,5,1,3,4,4,5,4,1000,31,3,15,F,18 to 25,,,,,,,
8,1,2,2,5,2,4,4,5,5,4,1000,40,4,16,F,18 to 25,,,,,,,
8,1,2,2,5,1,5,5,5,5,5,1000,40,3,17,M,18 to 25,,,,,,,
8,1,2,2,5,1,4,4,4,4,4,1000,40,3,18,F,18 to 25,,,,,,,
8,1,2,2,5,5,5,5,5,5,5,1000,41,2,19,F,18 to 25,,,,,,,
8,1,2,2,5,1,4,5,4,4,4,1000,43,1,20,F,18 to 25,,,,,,,
8,1,2,2,5,3,5,5,5,5,4,1000,44,3,21,F,18 to 25,,,,,,,
8,1,2,2,5,2,3,2,4,3,4,1000,41,3,22,M,12 to 17,,,,,,,
8,1,2,2,5,4,3,3,4,4,4,1000,44,4,23,F,12 to 17,,,,,,,
8,1,2,2,5,1,2,2,3,5,2,1000,36,4,24,F,18 to 25,,,,,,,
9,2,3,3,8,5,4,5,5,5,5,1000,46,5,1,F,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,1,1000,47,5,2,F,18 to 25,,,,,,,
9,2,3,3,8,4,4,4,5,5,4,1000,40,3,3,M,18 to 25,,,,,,,
9,2,3,3,8,1,2,3,2,1,1,1000,44,3,4,F,12 to 17,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,44,4,5,M,18 to 25,,,,,,,
9,2,3,3,8,5,4,4,4,4,4,1000,27,4,6,F,18 to 25,,,,,,,
9,2,3,3,8,4,3,3,5,5,5,1000,44,4,7,F,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,,,,,,,
9,2,3,3,8,4,5,5,5,5,5,1000,45,5,9,F,18 to 25,,,,,,,
9,2,3,3,8,5,4,3,4,5,4,1000,43,4,10,F,12 to 17,,,,,,,
9,2,3,3,8,4,4,4,4,4,5,1000,39,2,11,M,18 to 25,,,,,,,
9,2,3,3,8,4,5,2,3,3,3,1000,42,4,12,M,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,43,5,14,F,18 to 25,,,,,,,
9,2,3,3,8,5,4,4,4,5,4,1000,40,3,15,F,18 to 25,,,,,,,
9,2,3,3,8,4,4,5,5,5,5,620,39,4,16,F,18 to 25,,,,,,,
9,2,3,3,8,3,5,5,5,5,4,1000,39,3,17,M,18 to 25,,,,,,,
9,2,3,3,8,3,4,4,4,4,4,1000,33,3,18,F,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,744,46,2,19,F,18 to 25,,,,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,42,1,20,F,18 to 25,,,,,,,
9,2,3,3,8,5,4,4,4,4,4,1000,44,3,21,F,18 to 25,,,,,,,
9,2,3,3,8,5,5,3,2,4,4,1000,41,3,22,M,12 to 17,,,,,,,
9,2,3,3,8,2,3,4,2,1,3,1000,45,4,23,F,12 to 17,,,,,,,
9,2,3,3,8,4,4,4,5,5,4,1000,37,4,24,F,18 to 25,,,,,,,
10,3,3,1,7,2,5,5,4,4,4,699,43,5,1,F,18 to 25,,,,,,,
